'Index Name', 'Phase', 'Population', 'Avg Load Elapsed', 'Avg COMPLETE Elapsed', 'Avg HIGHCARD Elapsed', 'Avg LOWCARD Elapsed'
'Array','Query', 100,5.8194400000000006E-5,0.10238884079999999,0.0911649082,0.08343392760000001
'Array','Delete', 100,5.8194400000000006E-5,0.099461889,0.08668571840000001,0.10162196820000002
'Array','Query', 1000,1.530216E-4,0.8687686150000001,0.8388765418,0.7974156268
'Array','Delete', 1000,1.530216E-4,0.8678684418,0.834088648,0.8348388784
'Array','Query', 10000,8.623266E-4,8.6148789698,8.406390936000001,7.0505285872000005
'Array','Delete', 10000,8.623266E-4,8.466386401600001,8.433249718999999,8.4066677578
'Array','Query', 100000,0.0097481876,86.06245015680001,84.3042273394,73.61937917300001
'Array','Delete', 100000,0.0097481876,81.06525815479999,82.1040988948,82.11445375420001
'Array','Query', 1000000,0.08777691700000001,862.6031258616,841.2600801004,688.8567168162001
'Array','Delete', 1000000,0.08777691700000001,577.3835241872,822.1840378827999,825.9707930442
