'name','density','N','load','complete','high cardinality','low cardinality'
'Bloofi',5,10000,9.8,191.0,209.0,210.6
'LimitedBtree',5,10000,5.4,101.8,113.2,111.8
'Linear',5,10000,0.0,103.0,115.2,115.0
'Hamming',5,100000,385.6,848.4,1332.4,1410.8
'Btree',5,100000,59.6,1936.4,12570.8,19473.6
'Bloofi',5,100000,122.6,3103.0,3404.2,3375.0
'LimitedBtree',5,100000,58.8,982.8,1119.2,1089.0
'Linear',5,100000,0.4,987.8,1143.0,1112.2
'Hamming',5,1000000,37980.6,26039.0,36218.4,40606.6
'Btree',5,1000000,1411.6,12025.0,97501.8,124331.0
'Bloofi',5,1000000,1501.4,36101.4,39669.0,39932.8
'LimitedBtree',5,1000000,1370.2,10526.6,12023.4,12397.2
'Linear',5,1000000,5.4,10626.6,11908.0,12059.0
'Hamming',6,100,0.0,1.4,1.8,1.6
'Btree',6,100,0.2,8.6,25.0,24.6
'Bloofi',6,100,0.2,1.6,2.0,1.2
'LimitedBtree',6,100,0.0,1.2,1.0,0.8
'Linear',6,100,0.0,1.0,1.0,0.6
'Hamming',6,1000,0.2,11.8,12.6,10.2
'Btree',6,1000,0.4,58.0,174.2,195.8
'Bloofi',6,1000,0.6,20.2,19.4,16.4
'LimitedBtree',6,1000,0.4,11.6,11.0,9.0
'Linear',6,1000,0.0,11.6,11.6,8.6
'Hamming',6,10000,4.2,100.6,128.6,136.6
'Btree',6,10000,5.0,341.8,1590.2,1756.8
'Bloofi',6,10000,11.6,214.8,225.4,213.2
'LimitedBtree',6,10000,6.0,112.2,112.8,110.6
'Linear',6,10000,0.2,114.2,116.4,115.2
'Hamming',6,100000,388.4,1176.0,1690.6,1680.4
'Btree',6,100000,65.2,2514.4,14063.6,19557.4
'Bloofi',6,100000,121.2,3622.2,3767.8,3752.2
'LimitedBtree',6,100000,61.6,1130.8,1174.6,1127.0
'Linear',6,100000,0.4,1119.4,1171.2,1153.8
'Hamming',6,1000000,39444.8,29909.2,40648.2,43124.6
'Btree',6,1000000,1534.8,14759.6,105773.8,126765.4
'Bloofi',6,1000000,1458.0,38616.2,40768.4,41012.2
'LimitedBtree',6,1000000,1351.4,11432.8,12073.6,12150.0
'Linear',6,1000000,5.4,11464.2,12127.6,12264.4
'Hamming',7,100,0.0,0.8,1.4,1.0
'Btree',7,100,0.0,9.8,24.2,23.8
'Bloofi',7,100,0.2,1.6,1.8,1.2
'LimitedBtree',7,100,0.0,1.2,1.2,0.8
'Linear',7,100,0.0,1.0,1.2,0.8
'Hamming',7,1000,0.2,11.4,12.4,10.0
'Btree',7,1000,0.6,60.2,157.2,180.6
'Bloofi',7,1000,0.8,20.0,18.2,15.6
'LimitedBtree',7,1000,0.4,11.6,10.4,8.8
'Linear',7,1000,0.0,11.4,11.0,8.6
'Hamming',7,10000,4.2,99.4,128.0,135.0
'Btree',7,10000,5.2,332.4,1461.4,1555.8
'Bloofi',7,10000,9.4,216.6,207.2,204.0
'LimitedBtree',7,10000,5.4,116.2,108.4,106.6
'Linear',7,10000,0.0,117.8,113.4,112.2
'Hamming',7,100000,384.0,1117.8,1486.2,1554.0
'Btree',7,100000,60.4,2894.6,13536.4,17688.8
'Bloofi',7,100000,121.0,3625.0,3674.8,3623.0
'LimitedBtree',7,100000,63.4,1162.8,1147.2,1136.0
'Linear',7,100000,0.4,1208.6,1199.4,1150.6
'Hamming',7,1000000,38643.4,32681.8,43093.8,45246.4
'Btree',7,1000000,1245.6,17105.0,105369.8,120389.6
'Bloofi',7,1000000,1460.4,39945.4,40711.8,40762.2
'LimitedBtree',7,1000000,1153.0,12143.0,11952.2,11960.4
'Linear',7,1000000,5.4,12114.6,12139.2,12219.2
'Hamming',8,100,0.0,1.4,1.4,1.0
'Btree',8,100,0.2,8.4,19.6,18.8
'Bloofi',8,100,0.2,1.6,1.8,1.2
'LimitedBtree',8,100,0.0,1.2,1.0,0.8
'Linear',8,100,0.0,1.2,1.0,1.0
'Hamming',8,1000,0.0,11.0,11.4,9.6
'Btree',8,1000,0.2,46.4,155.0,145.0
'Bloofi',8,1000,0.6,19.6,17.4,15.4
'LimitedBtree',8,1000,0.4,11.2,9.8,8.4
'Linear',8,1000,0.0,11.4,11.0,9.0
'Hamming',8,10000,4.4,103.0,125.8,131.4
'Btree',8,10000,4.6,323.0,1252.2,1274.8
'Bloofi',8,10000,9.4,218.0,211.8,198.2
'LimitedBtree',8,10000,5.0,113.4,101.6,100.8
'Linear',8,10000,0.0,116.2,108.4,108.0
'Hamming',8,100000,370.6,1055.4,1422.8,1478.2
'Btree',8,100000,55.8,2969.8,12797.2,16102.0
'Bloofi',8,100000,121.2,3756.0,3694.6,3646.2
'LimitedBtree',8,100000,59.2,1163.6,1080.0,1051.2
'Linear',8,100000,0.4,1164.6,1113.4,1096.0
'Hamming',8,1000000,37077.4,35788.2,45704.0,47292.4
'Btree',8,1000000,876.4,19923.4,98823.6,110203.4
'Bloofi',8,1000000,1465.2,40723.6,40279.6,40522.0
'LimitedBtree',8,1000000,938.0,12302.6,11506.0,11481.6
'Linear',8,1000000,5.2,12327.6,11874.0,11910.8
'Hamming',9,100,0.0,1.2,1.2,0.8
'Btree',9,100,0.2,8.0,17.4,16.2
'Bloofi',9,100,0.2,1.6,1.6,1.2
'LimitedBtree',9,100,0.0,1.0,1.0,0.8
'Linear',9,100,0.0,1.0,1.0,1.0
'Hamming',9,1000,0.4,10.4,11.0,8.8
'Btree',9,1000,0.0,47.8,111.0,115.6
'Bloofi',9,1000,0.6,18.2,16.4,15.0
'LimitedBtree',9,1000,0.4,10.2,9.0,8.0
'Linear',9,1000,0.0,11.0,10.0,9.0
'Hamming',9,10000,4.2,106.0,124.4,128.0
'Btree',9,10000,4.4,274.0,942.2,972.4
'Bloofi',9,10000,9.0,215.4,194.6,193.6
'LimitedBtree',9,10000,4.6,108.0,94.0,93.2
'Linear',9,10000,0.0,113.4,103.6,104.0
'Hamming',9,100000,370.2,1156.4,1419.4,1502.0
'Btree',9,100000,53.2,2935.4,11297.4,14211.4
'Bloofi',9,100000,121.6,3757.2,3658.4,3596.4
'LimitedBtree',9,100000,59.0,1131.2,1018.6,988.6
'Linear',9,100000,0.4,1152.0,1083.2,1069.4
'Hamming',9,1000000,35270.2,38508.4,47570.0,48931.0
'Btree',9,1000000,749.8,21828.8,86848.4,95069.0
'Bloofi',9,1000000,1446.6,40469.0,39477.4,39246.0
'LimitedBtree',9,1000000,668.4,12026.8,10826.6,10836.6
'Linear',9,1000000,5.6,12132.2,11423.4,11461.4
