'Index Name', 'Usage', 'Phase', 'Population', 'Avg Load Elapsed', 'Avg COMPLETE Elapsed', 'Avg HIGHCARD Elapsed', 'Avg LOWCARD Elapsed'
'Array','Reference', 'Query', 100,4.93726E-5,0.0058024514,0.0014110999999999998,0.0014749206
'Array','Reference', 'Delete', 100,4.93726E-5,0.008476115,0.0036406282,0.0094376452
'Array','Reference', 'Query', 1000,1.757466E-4,0.006370716200000001,0.0046857558,0.0052533748
'Array','Reference', 'Delete', 1000,1.757466E-4,0.0228164172,0.011992277,0.0205864026
'Array','Reference', 'Query', 10000,0.0011288194000000002,0.040338469,0.069276848,0.0657317094
'Array','Reference', 'Delete', 10000,0.0011288194000000002,0.16865093560000002,0.17924586220000002,0.1518509092
'Array','Reference', 'Query', 100000,0.0091547562,0.4581959814,0.546503857,0.9789828234000002
'Array','Reference', 'Delete', 100000,0.0091547562,1.274792254,1.4096418166000002,1.6302542436000003
'Array','Reference', 'Query', 1000000,0.0790990382,8.1150478492,9.1036609754,12.654518428200003
'Array','Reference', 'Delete', 1000000,0.0790990382,1.6097291040000001,16.1752403622,15.442879677000002
'BF-Trie4','Reference', 'Query', 100,0.0025753972,0.004395082400000001,0.012549712600000002,0.010346788200000002
'BF-Trie4','Reference', 'Delete', 100,0.0025753972,4.066318E-4,2.3796580000000003E-4,2.397536E-4
'BF-Trie4','Reference', 'Query', 1000,8.442468000000002E-4,0.0015090104000000002,0.0334933682,0.05099644800000001
'BF-Trie4','Reference', 'Delete', 1000,8.442468000000002E-4,6.118552000000001E-4,3.242046E-4,3.777452E-4
'BF-Trie4','Reference', 'Query', 10000,0.007640601400000002,0.0106364112,0.36284193200000003,0.6359193592000001
'BF-Trie4','Reference', 'Delete', 10000,0.007640601400000002,3.9910860000000006E-4,2.1861260000000001E-4,2.02262E-4
'BF-Trie4','Reference', 'Query', 100000,0.10015420560000002,0.07704249300000002,3.556110287,7.7420886064
'BF-Trie4','Reference', 'Delete', 100000,0.10015420560000002,3.6652300000000005E-4,1.5020720000000003E-4,1.384414E-4
'BF-Trie4','Reference', 'Query', 1000000,2.2588461222,0.41955602540000003,19.470539481000003,72.4630276958
'BF-Trie4','Reference', 'Delete', 1000000,2.2588461222,0.0012446822,2.30979E-4,1.8478400000000004E-4
