'Index Name', 'Run', 'Phase', 'Population', 'Load Elapsed', 'COMPLETE Elapsed', 'COMPLETE Count', 'HIGHCARD Elapsed', 'HIGHCARD Count', 'LOWCARD Elapsed', 'LOWCARD Count'
'BF-Trie4','GateKeeper', 0,'Delete',1000,1484879049,0.017722453000000003,1,1.48E-6,0,2.012E-6,0
'BF-Trie4','GateKeeper', 1,'Query',1000,1298681969,6.670297451000001,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 1,'Delete',1000,1298681969,0.034910697000000004,1,1.981E-6,0,6.63E-7,0
'BF-Trie4','GateKeeper', 2,'Query',1000,1825468968,7.509158483,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 2,'Delete',1000,1825468968,0.007924662,1,2.483E-6,0,1.6450000000000001E-6,0
'BF-Trie4','GateKeeper', 3,'Query',1000,1840884668,6.936698146,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 3,'Delete',1000,1840884668,0.009919943,1,1.002E-6,0,1.8880000000000002E-6,0
'BF-Trie4','GateKeeper', 4,'Query',1000,1312291180,6.726585852,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 4,'Delete',1000,1312291180,0.009686157,1,1.771E-6,0,1.291E-6,0
'BF-Trie8','GateKeeper', 0,'Query',100,1580746,0.08028789600000001,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 0,'Delete',100,1580746,0.00240981,1,6.310000000000001E-7,0,1.002E-6,0
'BF-Trie8','GateKeeper', 1,'Query',100,2049002,0.07654564800000001,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 1,'Delete',100,2049002,0.002095267,1,5.78E-7,0,7.12E-7,0
'BF-Trie8','GateKeeper', 2,'Query',100,2155480,0.075544177,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 2,'Delete',100,2155480,0.002021798,1,5.58E-7,0,1.0500000000000001E-6,0
'BF-Trie8','GateKeeper', 3,'Query',100,2039795,0.076012935,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 3,'Delete',100,2039795,0.0019416230000000002,1,1.6730000000000001E-6,0,8.87E-7,0
'BF-Trie8','GateKeeper', 4,'Query',100,1659096,0.076207329,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 4,'Delete',100,1659096,0.0019069450000000002,1,1.285E-6,0,1.0730000000000001E-6,0
