'Index Name', 'Run', 'Phase', 'Population', 'Load Elapsed', 'COMPLETE Elapsed', 'COMPLETE Count', 'HIGHCARD Elapsed', 'HIGHCARD Count', 'LOWCARD Elapsed', 'LOWCARD Count'
'FlatBloofi','Reference', 3,'Query',100,223714,0.0024120540000000003,3,0.006628960000000001,1918,0.00565184,6036
'FlatBloofi','Reference', 3,'Delete',100,223714,5.294410000000001E-4,1,6.339910000000001E-4,0,5.004510000000001E-4,0
'FlatBloofi','Reference', 4,'Query',100,246460,0.002915771,3,0.006976582,1918,0.0056002330000000005,6036
'FlatBloofi','Reference', 4,'Delete',100,246460,4.5195900000000004E-4,1,5.94936E-4,0,5.58833E-4,0
'FlatBloofi','Reference', 0,'Query',1000,2314191,0.025656078000000002,22,0.015186704,22278,0.024880808,59685
'FlatBloofi','Reference', 0,'Delete',1000,2314191,0.006576707,3,0.0035563760000000004,0,0.004070046,0
'FlatBloofi','Reference', 1,'Query',1000,2087324,0.024592762,22,0.01507495,22278,0.032039211000000005,59685
'FlatBloofi','Reference', 1,'Delete',1000,2087324,0.003885475,3,0.003944098,0,0.004148450000000001,0
'FlatBloofi','Reference', 2,'Query',1000,2124564,0.0035911700000000003,22,0.015020524,22278,0.024612235000000003,59685
'FlatBloofi','Reference', 2,'Delete',1000,2124564,0.0037944610000000003,3,0.004512505,0,0.004118704,0
'FlatBloofi','Reference', 3,'Query',1000,1906406,0.0038300430000000004,22,0.010196955,22278,0.025122850000000002,59685
'FlatBloofi','Reference', 3,'Delete',1000,1906406,0.0038232300000000004,3,0.004696731,0,0.003013645,0
'FlatBloofi','Reference', 4,'Query',1000,1860266,0.003912286,22,0.010165562000000001,22278,0.024668634000000002,59685
'FlatBloofi','Reference', 4,'Delete',1000,1860266,0.0038660760000000004,3,0.004197818,0,7.40958E-4,0
'FlatBloofi','Reference', 0,'Query',10000,9056312,0.03422109,530,0.11271594700000001,165870,0.318407172,767607
'FlatBloofi','Reference', 0,'Delete',10000,9056312,0.00584592,22,0.003916933,2,0.0036251990000000004,2
'FlatBloofi','Reference', 1,'Query',10000,8932081,0.033073444,530,0.11200359200000001,165870,0.319371248,767607
'FlatBloofi','Reference', 1,'Delete',10000,8932081,0.0060203190000000005,22,0.0038607000000000003,2,0.0025059740000000002,2
'FlatBloofi','Reference', 2,'Query',10000,8559903,0.033880702,530,0.09657737500000001,165870,0.35906049900000003,767607
'FlatBloofi','Reference', 2,'Delete',10000,8559903,0.005790603,22,0.0038760900000000004,2,0.00344733,2
'FlatBloofi','Reference', 3,'Query',10000,8453027,0.033196313000000005,530,0.080803682,165870,0.319022136,767607
'FlatBloofi','Reference', 3,'Delete',10000,8453027,0.006094727,22,0.004093766,2,0.003714642,2
